timestamp,cpu_percent,ram_percent,ram_used_mb
00:25:11,46.0,96.0,7248.7
00:25:13,98.7,95.9,7236.9
00:25:15,72.6,92.0,6946.1
00:25:17,16.6,92.3,6967.8
00:25:19,69.0,92.4,6975.2
00:25:22,88.7,92.4,6977.9
00:25:24,100.0,92.4,6980.5
00:25:26,100.0,94.5,7132.5
00:25:28,91.8,94.2,7114.9
00:25:30,92.1,94.5,7133.0
00:25:32,92.1,94.1,7106.8
00:25:34,85.3,94.3,7120.9
00:25:36,96.6,94.1,7101.9
00:25:38,85.5,94.3,7117.4
00:25:40,26.5,94.1,7106.7
